neighbourhood_name,common_name,n,frequency
ARBUTUS-RIDGE,ACCOLADE CHERRY,1,1.934610176049526e-4
ARBUTUS-RIDGE,AKEBONO FLOWERING CHERRY,61,0.011801122073902109
ARBUTUS-RIDGE,ALDERLEAFED MOUNTAIN ASH,8,0.0015476881408396208
ARBUTUS-RIDGE,ALIA'S MAGNOLIA,3,5.803830528148578e-4
ARBUTUS-RIDGE,AMERICAN ELM,92,0.01779841361965564
ARBUTUS-RIDGE,AMERICAN FILBERT,4,7.738440704198104e-4
ARBUTUS-RIDGE,AMERICAN HORNBEAM,14,0.0027084542464693366
ARBUTUS-RIDGE,AMERICAN MOUNTAIN ASH,8,0.0015476881408396208
ARBUTUS-RIDGE,AMERICAN SWEETGUM,2,3.869220352099052e-4
ARBUTUS-RIDGE,AMUR MAPLE,5,9.67305088024763e-4
ARBUTUS-RIDGE,APPLE SERVICEBERRY,8,0.0015476881408396208
ARBUTUS-RIDGE,APPLE SPECIES,1,1.934610176049526e-4
ARBUTUS-RIDGE,APPRICOT PLUM,1,1.934610176049526e-4
ARBUTUS-RIDGE,ARISTOCRAT PEAR,20,0.003869220352099052
ARBUTUS-RIDGE,ARMSTRONG RED MAPLE,19,0.0036757593344940993
ARBUTUS-RIDGE,ARNOLD TULIPTREE,38,0.007351518668988199
ARBUTUS-RIDGE,ASH SPECIES,7,0.0013542271232346683
ARBUTUS-RIDGE,AUSTRIAN PINE,18,0.003482298316889147
ARBUTUS-RIDGE,AUTUMN APPLAUSE ASH,70,0.013542271232346682
ARBUTUS-RIDGE,AUTUMN BLAZE RED MAPLE,1,1.934610176049526e-4
ARBUTUS-RIDGE,AUTUMN FLAME RED MAPLE,19,0.0036757593344940993
ARBUTUS-RIDGE,AUTUMN PURPLE ASH,1,1.934610176049526e-4
ARBUTUS-RIDGE,AUTUMN SPLENDOR CHESTNUT,4,7.738440704198104e-4
ARBUTUS-RIDGE,BAILEY SELECT CHOKECHERRY,10,0.001934610176049526
ARBUTUS-RIDGE,BERGESON ASH,3,5.803830528148578e-4
ARBUTUS-RIDGE,BIGLEAF MAPLE,10,0.001934610176049526
ARBUTUS-RIDGE,BLACK COTTONWOOD,3,5.803830528148578e-4
ARBUTUS-RIDGE,BLACK LOCUST,3,5.803830528148578e-4
ARBUTUS-RIDGE,BLACK WALNUT,3,5.803830528148578e-4
ARBUTUS-RIDGE,BLOODGOOD JAPANESE MAPLE,1,1.934610176049526e-4
ARBUTUS-RIDGE,BLOODGOOD PLANE TREE,34,0.006577674598568389
ARBUTUS-RIDGE,BLUE ASH,2,3.869220352099052e-4
ARBUTUS-RIDGE,BOWHALL RED MAPLE,118,0.022828400077384407
ARBUTUS-RIDGE,BOXELDER,4,7.738440704198104e-4
ARBUTUS-RIDGE,BRANDON ELM,46,0.00889920680982782
ARBUTUS-RIDGE,BUR OAK,1,1.934610176049526e-4
ARBUTUS-RIDGE,BUTTERNUT,13,0.0025149932288643837
ARBUTUS-RIDGE,CALIFORNIA INCENSE CEDAR,1,1.934610176049526e-4
ARBUTUS-RIDGE,CALLERY PEAR,3,5.803830528148578e-4
ARBUTUS-RIDGE,CAPITAL PEAR,1,1.934610176049526e-4
ARBUTUS-RIDGE,CARDINAL ROYAL MOUNTAIN ASH,6,0.0011607661056297156
ARBUTUS-RIDGE,CAUCASIAN ASH,14,0.0027084542464693366
ARBUTUS-RIDGE,CAUCASIAN MAPLE,3,5.803830528148578e-4
ARBUTUS-RIDGE,CEDAR SPECIES,1,1.934610176049526e-4
ARBUTUS-RIDGE,CHANTICLEER PEAR,74,0.014316115302766493
ARBUTUS-RIDGE,"CHERRY, PLUM OR PEACH SPECIES",4,7.738440704198104e-4
ARBUTUS-RIDGE,CHINA GIRL DOGWOOD,4,7.738440704198104e-4
ARBUTUS-RIDGE,CHINESE KOUSA DOGWOOD,2,3.869220352099052e-4
ARBUTUS-RIDGE,CHINESE WINGNUT,1,1.934610176049526e-4
ARBUTUS-RIDGE,COLUMNAR NORWAY MAPLE,25,0.004836525440123815
ARBUTUS-RIDGE,COLUMNAR SARGENT CHERRY,5,9.67305088024763e-4
ARBUTUS-RIDGE,COMMON APPLE,7,0.0013542271232346683
ARBUTUS-RIDGE,COMMON CATALPA,2,3.869220352099052e-4
ARBUTUS-RIDGE,COMMON HACKBERRY,4,7.738440704198104e-4
ARBUTUS-RIDGE,COMMON HORSECHESTNUT,125,0.024182627200619075
ARBUTUS-RIDGE,COMMON LILAC,1,1.934610176049526e-4
ARBUTUS-RIDGE,COPPER OR PURPLE BEECH,21,0.004062681369704005
ARBUTUS-RIDGE,CRIMEAN LINDEN,55,0.010640355968272393
ARBUTUS-RIDGE,CRIMSON KING NORWAY MAPLE,7,0.0013542271232346683
ARBUTUS-RIDGE,CUTLEAF SILVER MAPLE,1,1.934610176049526e-4
ARBUTUS-RIDGE,DAWN REDWOOD,88,0.01702456954923583
ARBUTUS-RIDGE,DAWYCK'S BEECH,3,5.803830528148578e-4
ARBUTUS-RIDGE,DEBORAH NORWAY MAPLE,7,0.0013542271232346683
ARBUTUS-RIDGE,DEGROOT LINDEN,2,3.869220352099052e-4
ARBUTUS-RIDGE,DEODAR CEDAR,10,0.001934610176049526
ARBUTUS-RIDGE,DOGWOOD SPECIES,2,3.869220352099052e-4
ARBUTUS-RIDGE,DOUGLAS FIR,22,0.0042561423873089576
ARBUTUS-RIDGE,DOUGLAS HAWTHORN,23,0.00444960340491391
ARBUTUS-RIDGE,DOVE OR HANDKERCHIEF TREE,1,1.934610176049526e-4
ARBUTUS-RIDGE,DUTCH ELM,20,0.003869220352099052
ARBUTUS-RIDGE,EASTERN REDCEDAR,3,5.803830528148578e-4
ARBUTUS-RIDGE,EDDIES WHITE WONDER DOGWOOD,9,0.0017411491584445734
ARBUTUS-RIDGE,ELM SPECIES,1,1.934610176049526e-4
ARBUTUS-RIDGE,ELWOOD NORWAY MAPLE,5,9.67305088024763e-4
ARBUTUS-RIDGE,EMERALD QUEEN NORWAY MAPLE,8,0.0015476881408396208
ARBUTUS-RIDGE,ENGLISH HAWTHORN,13,0.0025149932288643837
ARBUTUS-RIDGE,ENGLISH HOLLY,3,5.803830528148578e-4
